,product_name,Product_Number,Bluetooth,Main Camera Resolution,Internal Memory,Processor,Battery Capacity,Display Resolution,Display Size (inch),Network,Weight (g),Processor,Dimensions,RAM,Talk Time,image
36,249444,MEIZU MX6,V4.1,12 mega-pixels camera,32GB,MediaTek Helio X20 10-core processor (A53 1.4GHz x4 + A53 1.9GHz x4 + A72 2.3GHz x2),3060mAh (Typ.) Built-in Battery,1920 x 1080 (403PPI),5.5 inches,"GSM: 850/900/1800/1900,",155g,MediaTek Helio X20 10-core processor (A53 1.4GHz x4 + A53 1.9GHz x4 + A72 2.3GHz x2),153.6 x 75.2 x 7.25mm,4GB,N/A,f0dd60269af86c47c1070ddbe6d6fe997d3abcd7.jpg
37,248229,FREETEL MUSASHI,Bluetooth™ 4.0,8 Megapixels,8GB,MT6735M 1.0GHz Quad Core Processor,2000 mAh,(Front) 800 x 480 (WVGA) / (Inner) 800 x 480 (WVGA),(Front) 4.0 inch /  (Inner) 4.0 inch,"FDD-LTE (Bands 1, 3, 8 , 19)",198 g,MT6735M 1.0GHz Quad Core Processor,123.1 x 63.1 x 17.6  mm,1GB,490 minute,64943c5d631622b35c02f99daadfdd34a32508f8.jpg
38,249433,MEIZU Pro 6 Plus,V4.1,12 mega-pixels camera,128GB,SAMSUNG Exynos 8890 8-core processor (Exynos M1 2.3GHz x4 + ARM® Cortex®-A53™ 1.6GHz x4),3400mAh (Typ.),2560x 1440 (518PPI),5.7 inches,"GSM: 850/900/1800/1900,",158g,SAMSUNG Exynos 8890 8-core processor (Exynos M1 2.3GHz x4 + ARM® Cortex®-A53™ 1.6GHz x4),155.6 x 77.3 x 7.3 mm,4GB,N/A,f753ff8dc57b7eda244010940470fdbae800aeb3.jpg
39,246684,Samsung GALAXY S8+(128GB),v5.0 LE up to 2Mbps,Support 12MP Dual Pixel photodiode sensor with faster auto focus,128GB,Octa-core (2.35GHz Quad + 1.9GHz Quad),"3,500 mAh long lasting battery",2960 x 1440 (Quad HD+),"6.2inch (158.1mm , full rectangle) Quad HD+ Super AMOLED
6.1inch (154.5mm , rounded corners) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),",173g,Octa-core (2.35GHz Quad + 1.9GHz Quad),159.5 (L) x 73.4 (W) x 8.1 (D) mm,"128GB, UFS 2.1 (RAM: 6GB LPDDR4)",N/A,458270d619b8ad0b1426a634ec96a28567079ca4.jpg
40,246574,Samsung GALAXY S8+(64GB),v5.0 LE up to 2Mbps,Support 12MP Dual Pixel photodiode sensor with faster auto focus,64GB,Octa-core (2.35GHz Quad + 1.9GHz Quad),"3,500 mAh long lasting battery",2960 x 1440 (Quad HD+),"6.2inch (158.1mm , full rectangle) Quad HD+ Super AMOLED
6.1inch (154.5mm , rounded corners) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),",173g,Octa-core (2.35GHz Quad + 1.9GHz Quad),159.5 (L) x 73.4 (W) x 8.1 (D) mm,"64GB, UFS 2.1 (RAM: 4GB LPDDR4)",N/A,5aaf159abdac5e9b064bb89a86f8f4812e9500b1.jpg
41,246265,Xiaomi Redmi Note 4X(64GB),Bluetooth 4.1,13MP,64GB,Snapdragon 625 processor max. freq 2.0GHz,N/A,16M colors,5.5 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4(1700MHz), B5 (850 MHz), B7 (2600 Mhz), B8(900MHz), B20(800MHz)",165g,Snapdragon 625 processor max. freq 2.0GHz,151 x 76 x 8.3mm,4GB,51hrs,7f0c868d7cb4e741b56793dd54adccafce5faeb4.jpg
42,246410,Samsung GALAXY S8,"v5.0 LE up to 2Mbps (A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP)",Support 12MP Dual Pixel photodiode sensor with faster auto focus,64GB,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad","3,000 mAh",2960 x 1440 (Quad HD+),"5.8inch (146.5mm, full rectangle) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),",155g,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad",148.9 (L) x 68.1(W) x 8 (D) mm,"Storage: 64GB, UFS 2.1 (RAM: 4GB LPDDR4)",N/A,ad2271773cc23d5e2d6816df286753805f746a42.jpg
43,246092,Huawei P10 lite,Bluetooth 4.1,12MP,64GB,HUAWEI Kirin 658 Octa-core processor (4*Cortex A53 2.1GHz + 4*Cortex A53 1.7GHz),"3,000mAh non removable battery",1080p (1920 x 1080),5.2 inches,"SIM1: 
4G TDD LTE: Band38/39/40/41(100MHz)",146g,HUAWEI Kirin 658 Octa-core processor (4*Cortex A53 2.1GHz + 4*Cortex A53 1.7GHz),146.5 × 72 × 7.2 mm,4GB LPDDR3,about 21 hours,eeb3d357039116cdd62da100c1317b14bbdb7126.jpg
44,244025,Apple IPHONE SE 128GB,Bluetooth 4.2,12‑megapixel iSight camera with 1.22µ pixels,Up to 128GB,A9 chip,N/A,1136 x 640 pixels,4-inch (diagonal) LED‑backlit widescreen Multi-Touch display,LTE (頻段 1、2、3、4、5、7、8、12、17、18、19、20、25、26、28),113(with battery),A9 chip,123.8 x 58.6 x 7.6,2GB,14 hours on 3G,2719a74ef45e401fcd820e42ebe05f73daffcf66.jpg
45,245836,MEITU T8,Support,2100M,128GB,MT6797 Deca-core 2.3GHz,3580mAh,1080*1920,5.2 inch,2G GSM：Band 2/3/5/8,170g,MT6797 Deca-core 2.3GHz,158.4*71.5*9.3mm,4GB,"1400分鐘（2G）,900分鐘（3G）/ 1400 mins (2G), 900 mins (3G)",06153f31c3e401a81e1526587b6a492353e618e4.jpg
